i,j,P,Q,est
0,23,Y,X,-0.063
0,23,Y,Y,-0.126
0,23,Y,Z,-0.198
0,23,Z,X,-0.018
0,23,Z,Y,-0.099
0,23,Z,Z,0.99
0,24,X,X,-0.036
0,24,X,Y,-0.135
0,24,X,Z,0.027
0,24,Y,X,-0.009
0,24,Y,Y,0.144
0,24,Y,Z,0.018
0,24,Z,X,0.009
0,24,Z,Y,-0.171
0,24,Z,Z,1.035
0,25,X,X,0.081
0,25,X,Y,-0.054
0,25,X,Z,-0.045
0,25,Y,X,0.009
0,25,Y,Y,0.072
0,25,Y,Z,-0.108
0,25,Z,X,-0.099
0,25,Z,Y,-0.09
0,25,Z,Z,0.882
0,26,X,X,0.018
0,26,X,Y,-0.036
0,26,X,Z,-0.144
0,26,Y,X,-0.072
0,26,Y,Y,-0.009
0,26,Y,Z,-0.144
0,26,Z,X,-0.225
0,26,Z,Y,-0.09
0,26,Z,Z,1.044
0,27,X,X,0.135
0,27,X,Y,0.135
0,27,X,Z,0.0
0,27,Y,X,-0.063
0,27,Y,Y,-0.063
0,27,Y,Z,-0.117
0,27,Z,X,0.117
0,27,Z,Y,0.009
0,27,Z,Z,1.107
0,28,X,X,0.0
0,28,X,Y,0.162
0,28,X,Z,-0.054
0,28,Y,X,-0.063
0,28,Y,Y,-0.036
0,28,Y,Z,0.036
0,28,Z,X,-0.09
0,28,Z,Y,0.099
0,28,Z,Z,1.116
0,29,X,X,-0.072
0,29,X,Y,0.027
0,29,X,Z,-0.135
0,29,Y,X,0.108
0,29,Y,Y,0.126
0,29,Y,Z,-0.117
0,29,Z,X,0.018
0,29,Z,Y,0.081
0,29,Z,Z,1.008
1,2,X,X,0.126
1,2,X,Y,0.045
1,2,X,Z,-0.063
1,2,Y,X,0.0
1,2,Y,Y,0.135
1,2,Y,Z,-0.009
1,2,Z,X,-0.054
1,2,Z,Y,-0.126
1,2,Z,Z,1.062
1,3,X,X,0.234
1,3,X,Y,-0.126
1,3,X,Z,0.216
1,3,Y,X,0.117
1,3,Y,Y,-0.018
1,3,Y,Z,0.027
1,3,Z,X,-0.045
1,3,Z,Y,-0.054
1,3,Z,Z,1.143
1,4,X,X,-0.036
1,4,X,Y,0.045
1,4,X,Z,0.045
1,4,Y,X,-0.027
1,4,Y,Y,0.072
1,4,Y,Z,-0.009
1,4,Z,X,0.018
1,4,Z,Y,0.045
1,4,Z,Z,1.035
1,5,X,X,-0.027
1,5,X,Y,0.081
1,5,X,Z,0.072
1,5,Y,X,-0.009
1,5,Y,Y,0.045
1,5,Y,Z,-0.108
1,5,Z,X,-0.099
1,5,Z,Y,0.144
1,5,Z,Z,1.053
1,6,X,X,-0.162
1,6,X,Y,0.126
1,6,X,Z,0.09
1,6,Y,X,0.162
1,6,Y,Y,0.054
1,6,Y,Z,-0.18
1,6,Z,X,0.0
1,6,Z,Y,-0.036
1,6,Z,Z,1.08
1,7,X,X,-0.162
1,7,X,Y,-0.108
1,7,X,Z,0.018
1,7,Y,X,-0.054
1,7,Y,Y,-0.045
1,7,Y,Z,-0.027
1,7,Z,X,-0.198
1,7,Z,Y,-0.126
1,7,Z,Z,1.134
1,8,X,X,-0.135
1,8,X,Y,0.045
1,8,X,Z,-0.018
1,8,Y,X,0.018
1,8,Y,Y,-0.09
1,8,Y,Z,-0.234
1,8,Z,X,-0.063
1,8,Z,Y,0.135
1,8,Z,Z,0.954
1,9,X,X,0.135
1,9,X,Y,-0.054
1,9,X,Z,-0.081
1,9,Y,X,-0.045
1,9,Y,Y,0.117
1,9,Y,Z,-0.198
1,9,Z,X,-0.171
1,9,Z,Y,0.027
1,9,Z,Z,0.936
1,10,X,X,-0.09
1,10,X,Y,0.108
1,10,X,Z,0.018
1,10,Y,X,-0.099
1,10,Y,Y,-0.063
1,10,Y,Z,-0.18
1,10,Z,X,-0.009
1,10,Z,Y,-0.036
1,10,Z,Z,1.125
1,11,X,X,0.108
1,11,X,Y,0.0
1,11,X,Z,0.0
1,11,Y,X,0.027
1,11,Y,Y,-0.063
1,11,Y,Z,-0.126
1,11,Z,X,-0.036
1,11,Z,Y,0.018
1,11,Z,Z,1.026
1,12,X,X,0.072
1,12,X,Y,-0.081
1,12,X,Z,0.027
1,12,Y,X,0.045
1,12,Y,Y,-0.117
1,12,Y,Z,-0.126
1,12,Z,X,-0.036
1,12,Z,Y,0.0
1,12,Z,Z,1.188
1,13,X,X,0.063
1,13,X,Y,-0.108
1,13,X,Z,-0.153
1,13,Y,X,0.153
1,13,Y,Y,-0.054
1,13,Y,Z,-0.081
1,13,Z,X,-0.045
1,13,Z,Y,-0.018
1,13,Z,Z,0.927
1,14,X,X,0.009
1,14,X,Y,0.027
1,14,X,Z,0.036
1,14,Y,X,0.153
1,14,Y,Y,0.153
1,14,Y,Z,-0.126
1,14,Z,X,-0.018
1,14,Z,Y,-0.054
1,14,Z,Z,1.026
1,15,X,X,0.045
1,15,X,Y,0.099
1,15,X,Z,0.0
1,15,Y,X,-0.027
1,15,Y,Y,-0.063
1,15,Y,Z,-0.09
1,15,Z,X,-0.081
1,15,Z,Y,-0.126
1,15,Z,Z,1.035
1,16,X,X,0.054
1,16,X,Y,-0.018
1,16,X,Z,0.036
1,16,Y,X,-0.054
1,16,Y,Y,0.117
1,16,Y,Z,-0.189
1,16,Z,X,0.108
1,16,Z,Y,0.081
1,16,Z,Z,0.945
1,17,X,X,0.0
1,17,X,Y,-0.072
1,17,X,Z,0.018
1,17,Y,X,-0.207
1,17,Y,Y,0.063
1,17,Y,Z,-0.18
1,17,Z,X,-0.054
1,17,Z,Y,-0.018
1,17,Z,Z,1.062
1,18,X,X,0.0
1,18,X,Y,-0.036
1,18,X,Z,-0.126
1,18,Y,X,0.009
1,18,Y,Y,0.036
1,18,Y,Z,-0.081
1,18,Z,X,-0.045
1,18,Z,Y,-0.027
1,18,Z,Z,1.008
1,19,X,X,-0.108
1,19,X,Y,0.207
1,19,X,Z,-0.027
1,19,Y,X,-0.09
1,19,Y,Y,0.036
1,19,Y,Z,0.054
1,19,Z,X,0.315
1,19,Z,Y,-0.072
1,19,Z,Z,1.107
1,20,X,X,0.009
1,20,X,Y,-0.135
1,20,X,Z,0.036
1,20,Y,X,-0.063
1,20,Y,Y,0.072
1,20,Y,Z,-0.261
1,20,Z,X,-0.054
1,20,Z,Y,0.09
1,20,Z,Z,0.99
1,21,X,X,0.198
1,21,X,Y,-0.054
1,21,X,Z,0.072
1,21,Y,X,-0.063
1,21,Y,Y,0.0
1,21,Y,Z,-0.099
1,21,Z,X,-0.054
1,21,Z,Y,0.216
1,21,Z,Z,1.044
1,22,X,X,0.153
1,22,X,Y,-0.054
1,22,X,Z,0.117
1,22,Y,X,0.081
1,22,Y,Y,-0.081
1,22,Y,Z,-0.09
