i,j,P,Q,est
0,1,X,X,-0.27
0,1,X,Y,0.09
0,1,X,Z,0.0
0,1,Y,X,-0.27
0,1,Y,Y,0.45
0,1,Y,Z,0.18
0,1,Z,X,0.09
0,1,Z,Y,0.0
0,1,Z,Z,1.35
0,2,X,X,0.27
0,2,X,Y,0.27
0,2,X,Z,0.18
0,2,Y,X,0.18
0,2,Y,Y,0.0
0,2,Y,Z,0.54
0,2,Z,X,0.18
0,2,Z,Y,0.09
0,2,Z,Z,1.17
0,3,X,X,0.36
0,3,X,Y,-0.18
0,3,X,Z,0.18
0,3,Y,X,-0.27
0,3,Y,Y,0.18
0,3,Y,Z,0.09
0,3,Z,X,-0.45
0,3,Z,Y,0.63
0,3,Z,Z,0.9
0,4,X,X,-0.09
0,4,X,Y,0.09
0,4,X,Z,-0.36
0,4,Y,X,-0.36
0,4,Y,Y,0.09
0,4,Y,Z,0.27
0,4,Z,X,0.18
0,4,Z,Y,-0.18
0,4,Z,Z,1.08
0,5,X,X,0.09
0,5,X,Y,0.09
0,5,X,Z,0.36
0,5,Y,X,0.45
0,5,Y,Y,0.18
0,5,Y,Z,0.63
0,5,Z,X,0.0
0,5,Z,Y,-0.18
0,5,Z,Z,1.08
0,6,X,X,-0.18
0,6,X,Y,0.0
0,6,X,Z,0.18
0,6,Y,X,-0.09
0,6,Y,Y,-0.09
0,6,Y,Z,0.36
0,6,Z,X,-0.09
0,6,Z,Y,0.54
0,6,Z,Z,1.17
0,7,X,X,-0.09
0,7,X,Y,-0.18
0,7,X,Z,0.27
0,7,Y,X,-0.27
0,7,Y,Y,0.09
0,7,Y,Z,0.72
0,7,Z,X,0.36
0,7,Z,Y,-0.27
0,7,Z,Z,0.99
0,8,X,X,-0.36
0,8,X,Y,0.27
0,8,X,Z,0.27
0,8,Y,X,0.0
0,8,Y,Y,-0.27
0,8,Y,Z,0.63
0,8,Z,X,-0.27
0,8,Z,Y,-0.18
0,8,Z,Z,1.17
0,9,X,X,-0.45
0,9,X,Y,0.18
0,9,X,Z,0.45
0,9,Y,X,0.63
0,9,Y,Y,0.09
0,9,Y,Z,-0.18
0,9,Z,X,-0.27
0,9,Z,Y,0.54
0,9,Z,Z,0.81
0,10,X,X,0.54
0,10,X,Y,-0.27
0,10,X,Z,0.63
0,10,Y,X,0.63
0,10,Y,Y,-0.18
0,10,Y,Z,0.45
0,10,Z,X,0.09
0,10,Z,Y,-0.18
0,10,Z,Z,1.17
0,11,X,X,0.09
0,11,X,Y,0.18
0,11,X,Z,0.63
0,11,Y,X,0.0
0,11,Y,Y,0.0
