i,j,P,Q,est
0,11,Y,Z,0.0
0,11,Z,X,0.18
0,11,Z,Y,0.09
0,11,Z,Z,0.99
0,12,X,X,-0.36
0,12,X,Y,0.09
0,12,X,Z,0.27
0,12,Y,X,0.09
0,12,Y,Y,0.18
0,12,Y,Z,0.45
0,12,Z,X,0.18
0,12,Z,Y,-0.09
0,12,Z,Z,0.99
0,13,X,X,0.27
0,13,X,Y,0.09
0,13,X,Z,0.18
0,13,Y,X,-0.63
0,13,Y,Y,0.18
0,13,Y,Z,-0.09
0,13,Z,X,-0.27
0,13,Z,Y,0.36
0,13,Z,Z,1.17
0,14,X,X,-0.09
0,14,X,Y,-0.27
0,14,X,Z,0.0
0,14,Y,X,-0.36
0,14,Y,Y,-0.72
0,14,Y,Z,0.54
0,14,Z,X,-0.36
0,14,Z,Y,-0.09
0,14,Z,Z,0.81
0,15,X,X,-0.36
0,15,X,Y,-0.09
0,15,X,Z,-0.09
0,15,Y,X,0.27
0,15,Y,Y,-0.09
0,15,Y,Z,0.36
0,15,Z,X,-0.54
0,15,Z,Y,0.27
0,15,Z,Z,1.17
0,16,X,X,-0.45
0,16,X,Y,0.09
0,16,X,Z,0.54
0,16,Y,X,0.18
0,16,Y,Y,-0.09
0,16,Y,Z,0.45
0,16,Z,X,-0.27
0,16,Z,Y,-0.36
0,16,Z,Z,0.99
0,17,X,X,0.27
0,17,X,Y,-0.27
0,17,X,Z,0.36
0,17,Y,X,-0.27
0,17,Y,Y,0.0
0,17,Y,Z,0.09
0,17,Z,X,-0.18
0,17,Z,Y,-0.09
0,17,Z,Z,1.17
0,18,X,X,0.45
0,18,X,Y,0.63
0,18,X,Z,0.36
0,18,Y,X,-0.09
0,18,Y,Y,0.45
0,18,Y,Z,0.18
0,18,Z,X,-0.45
0,18,Z,Y,0.36
0,18,Z,Z,1.17
0,19,X,X,0.0
0,19,X,Y,0.54
0,19,X,Z,0.0
0,19,Y,X,-0.45
0,19,Y,Y,-0.36
0,19,Y,Z,0.45
0,19,Z,X,0.27
0,19,Z,Y,-0.36
0,19,Z,Z,0.81
0,20,X,X,0.18
0,20,X,Y,-0.18
0,20,X,Z,0.36
0,20,Y,X,-0.36
0,20,Y,Y,-0.36
0,20,Y,Z,0.54
0,20,Z,X,0.45
0,20,Z,Y,0.18
0,20,Z,Z,0.99
0,21,X,X,-0.09
0,21,X,Y,0.0
0,21,X,Z,-0.09
0,21,Y,X,0.0
0,21,Y,Y,-0.09
0,21,Y,Z,0.27
0,21,Z,X,-0.27
0,21,Z,Y,0.0
0,21,Z,Z,0.81
0,22,X,X,0.09
0,22,X,Y,0.27
0,22,X,Z,0.36
0,22,Y,X,0.09
0,22,Y,Y,-0.36
0,22,Y,Z,-0.27
0,22,Z,X,0.0
0,22,Z,Y,-0.09
0,22,Z,Z,1.17
0,23,X,X,0.36
0,23,X,Y,0.36
0,23,X,Z,0.18
0,23,Y,X,-0.27
0,23,Y,Y,-0.63
0,23,Y,Z,0.0
0,23,Z,X,-0.18
0,23,Z,Y,-0.45
0,23,Z,Z,0.99
0,24,X,X,0.09
0,24,X,Y,0.0
0,24,X,Z,0.27
0,24,Y,X,-0.27
0,24,Y,Y,-0.45
0,24,Y,Z,-0.18
0,24,Z,X,0.27
0,24,Z,Y,0.18
0,24,Z,Z,0.99
0,25,X,X,0.36
0,25,X,Y,0.36
0,25,X,Z,-0.18
0,25,Y,X,-0.45
0,25,Y,Y,0.18
0,25,Y,Z,0.09
0,25,Z,X,0.36
0,25,Z,Y,-0.36
0,25,Z,Z,1.44
0,26,X,X,0.81
0,26,X,Y,0.27
0,26,X,Z,0.72
0,26,Y,X,-0.18
0,26,Y,Y,0.27
0,26,Y,Z,0.63
0,26,Z,X,-0.18
0,26,Z,Y,0.0
0,26,Z,Z,0.72
0,27,X,X,-0.09
0,27,X,Y,-0.18
0,27,X,Z,0.45
0,27,Y,X,-0.09
0,27,Y,Y,0.36
0,27,Y,Z,0.63
0,27,Z,X,-0.72
0,27,Z,Y,-0.27
0,27,Z,Z,0.99
0,28,X,X,-0.18
0,28,X,Y,0.09
0,28,X,Z,0.09
0,28,Y,X,-0.09
0,28,Y,Y,-0.54
0,28,Y,Z,0.09
0,28,Z,X,-0.54
0,28,Z,Y,0.18
0,28,Z,Z,1.08
0,29,X,X,-0.18
0,29,X,Y,0.36
0,29,X,Z,0.18
0,29,Y,X,-0.09
0,29,Y,Y,0.63
0,29,Y,Z,0.72
0,29,Z,X,0.18
0,29,Z,Y,0.27
0,29,Z,Z,0.81
1,2,X,X,0.27
1,2,X,Y,0.09
1,2,X,Z,0.45
1,2,Y,X,-0.09
1,2,Y,Y,-0.09
1,2,Y,Z,0.18
1,2,Z,X,0.09
1,2,Z,Y,0.36
1,2,Z,Z,1.08
1,3,X,X,-0.45
1,3,X,Y,0.18
1,3,X,Z,-0.18
1,3,Y,X,-0.18
1,3,Y,Y,-0.18
1,3,Y,Z,-0.54
1,3,Z,X,-0.09
1,3,Z,Y,0.63
1,3,Z,Z,0.99
1,4,X,X,0.36
1,4,X,Y,0.09
1,4,X,Z,0.0
1,4,Y,X,-0.72
1,4,Y,Y,0.9
1,4,Y,Z,0.0
1,4,Z,X,0.09
1,4,Z,Y,-0.45
1,4,Z,Z,1.35
1,5,X,X,-0.18
1,5,X,Y,-0.36
1,5,X,Z,0.09
1,5,Y,X,0.36
1,5,Y,Y,-0.27
1,5,Y,Z,-0.27
1,5,Z,X,0.18
1,5,Z,Y,0.36
1,5,Z,Z,1.17
1,6,X,X,-0.27
1,6,X,Y,0.45
1,6,X,Z,-0.09
1,6,Y,X,-0.09
1,6,Y,Y,0.0
1,6,Y,Z,-0.45
1,6,Z,X,0.0
1,6,Z,Y,0.0
1,6,Z,Z,1.35
1,7,X,X,-0.27
1,7,X,Y,0.0
1,7,X,Z,-0.18
1,7,Y,X,0.18
1,7,Y,Y,0.0
1,7,Y,Z,0.18
1,7,Z,X,0.09
1,7,Z,Y,-0.18
1,7,Z,Z,1.26
1,8,X,X,0.09
1,8,X,Y,-0.09
1,8,X,Z,0.45
1,8,Y,X,-0.09
1,8,Y,Y,-0.18
1,8,Y,Z,-0.27
1,8,Z,X,0.09
1,8,Z,Y,-0.45
1,8,Z,Z,1.17
1,9,X,X,-0.45
1,9,X,Y,0.27
1,9,X,Z,0.09
1,9,Y,X,0.27
1,9,Y,Y,0.0
1,9,Y,Z,-0.27
1,9,Z,X,-0.09
1,9,Z,Y,0.36
1,9,Z,Z,0.72
1,10,X,X,-0.27
1,10,X,Y,0.09
1,10,X,Z,0.09
1,10,Y,X,0.09
1,10,Y,Y,0.0
1,10,Y,Z,-0.09
1,10,Z,X,-0.36
1,10,Z,Y,0.18
1,10,Z,Z,1.17
1,11,X,X,-0.18
1,11,X,Y,-0.45
1,11,X,Z,-0.18
1,11,Y,X,0.36
1,11,Y,Y,0.18
1,11,Y,Z,-0.18
1,11,Z,X,0.45
1,11,Z,Y,0.18
1,11,Z,Z,0.72
1,12,X,X,0.18
1,12,X,Y,-0.54
1,12,X,Z,-0.09
1,12,Y,X,0.0
1,12,Y,Y,-0.18
1,12,Y,Z,0.36
1,12,Z,X,0.45
1,12,Z,Y,-0.36
1,12,Z,Z,1.44
1,13,X,X,-0.72
1,13,X,Y,0.09
1,13,X,Z,-0.18
1,13,Y,X,0.09
1,13,Y,Y,0.36
1,13,Y,Z,-0.45
1,13,Z,X,-0.36
1,13,Z,Y,0.18
1,13,Z,Z,0.99
1,14,X,X,-0.18
1,14,X,Y,0.09
1,14,X,Z,0.18
1,14,Y,X,-0.09
1,14,Y,Y,-0.45
1,14,Y,Z,0.36
1,14,Z,X,0.18
1,14,Z,Y,-0.36
1,14,Z,Z,0.99
1,15,X,X,0.0
1,15,X,Y,0.18
1,15,X,Z,-0.45
1,15,Y,X,-0.09
1,15,Y,Y,0.63
1,15,Y,Z,-0.36
1,15,Z,X,0.18
1,15,Z,Y,-0.54
1,15,Z,Z,0.81
1,16,X,X,0.18
1,16,X,Y,0.0
1,16,X,Z,0.09
1,16,Y,X,-0.63
1,16,Y,Y,0.63
1,16,Y,Z,-0.36
1,16,Z,X,0.09
1,16,Z,Y,-0.27
1,16,Z,Z,1.53
1,17,X,X,0.18
1,17,X,Y,0.36
1,17,X,Z,0.09
1,17,Y,X,0.36
1,17,Y,Y,0.36
1,17,Y,Z,-0.18
1,17,Z,X,0.36
1,17,Z,Y,0.0
1,17,Z,Z,1.17
1,18,X,X,-0.09
1,18,X,Y,-0.27
1,18,X,Z,-0.09
1,18,Y,X,0.18
1,18,Y,Y,0.45
1,18,Y,Z,0.45
1,18,Z,X,-0.36
1,18,Z,Y,0.54
1,18,Z,Z,0.99
1,19,X,X,0.36
1,19,X,Y,0.0
1,19,X,Z,-0.27
1,19,Y,X,0.36
1,19,Y,Y,0.0
1,19,Y,Z,-0.36
1,19,Z,X,0.36
1,19,Z,Y,0.18
1,19,Z,Z,1.17
1,20,X,X,-0.09
1,20,X,Y,-0.18
1,20,X,Z,0.0
1,20,Y,X,-0.72
1,20,Y,Y,-0.36
1,20,Y,Z,-0.36
1,20,Z,X,0.0
1,20,Z,Y,0.54
1,20,Z,Z,0.99
1,21,X,X,0.18
1,21,X,Y,-0.45
1,21,X,Z,-0.18
1,21,Y,X,0.45
1,21,Y,Y,0.0
1,21,Y,Z,-0.09
1,21,Z,X,-0.09
1,21,Z,Y,0.18
1,21,Z,Z,0.72
1,22,X,X,-0.45
1,22,X,Y,0.18
1,22,X,Z,0.36
1,22,Y,X,-0.18
1,22,Y,Y,-0.18
1,22,Y,Z,-0.18
1,22,Z,X,0.27
1,22,Z,Y,0.0
1,22,Z,Z,0.9
1,23,X,X,-0.27
1,23,X,Y,0.27
1,23,X,Z,-0.09
1,23,Y,X,-0.45
1,23,Y,Y,0.18
1,23,Y,Z,0.27
1,23,Z,X,-0.09
1,23,Z,Y,-0.09
1,23,Z,Z,1.17
1,24,X,X,0.45
1,24,X,Y,0.09
1,24,X,Z,0.09
1,24,Y,X,-0.45
1,24,Y,Y,-0.45
1,24,Y,Z,0.0
1,24,Z,X,-0.27
1,24,Z,Y,0.09
1,24,Z,Z,1.17
1,25,X,X,0.09
1,25,X,Y,0.27
1,25,X,Z,0.27
1,25,Y,X,0.27
1,25,Y,Y,0.09
1,25,Y,Z,0.18
1,25,Z,X,0.45
1,25,Z,Y,-0.36
1,25,Z,Z,0.72
1,26,X,X,-0.09
1,26,X,Y,-0.18
1,26,X,Z,-0.54
1,26,Y,X,0.81
1,26,Y,Y,0.09
1,26,Y,Z,0.36
1,26,Z,X,-0.09
1,26,Z,Y,0.09
1,26,Z,Z,0.99
1,27,X,X,-0.27
1,27,X,Y,-0.27
1,27,X,Z,-0.45
1,27,Y,X,0.27
1,27,Y,Y,0.18
1,27,Y,Z,0.09
1,27,Z,X,-0.72
1,27,Z,Y,-0.18
1,27,Z,Z,1.17
1,28,X,X,0.18
1,28,X,Y,-0.54
1,28,X,Z,-0.09
1,28,Y,X,0.72
1,28,Y,Y,-0.72
1,28,Y,Z,0.18
1,28,Z,X,-0.09
1,28,Z,Y,-0.27
1,28,Z,Z,0.99
1,29,X,X,-0.27
1,29,X,Y,-0.27
1,29,X,Z,-0.09
1,29,Y,X,-0.09
1,29,Y,Y,0.27
1,29,Y,Z,0.18
1,29,Z,X,-0.27
1,29,Z,Y,-0.36
1,29,Z,Z,0.72
2,3,X,X,0.09
2,3,X,Y,0.27
2,3,X,Z,0.09
2,3,Y,X,0.63
2,3,Y,Y,-0.36
2,3,Y,Z,0.09
2,3,Z,X,0.0
2,3,Z,Y,-0.18
2,3,Z,Z,1.53
2,4,X,X,0.36
2,4,X,Y,0.0
2,4,X,Z,0.27
2,4,Y,X,0.18
2,4,Y,Y,-0.09
2,4,Y,Z,0.09
2,4,Z,X,0.63
2,4,Z,Y,-0.27
2,4,Z,Z,0.99
2,5,X,X,0.36
2,5,X,Y,0.36
2,5,X,Z,0.63
2,5,Y,X,0.18
2,5,Y,Y,0.45
2,5,Y,Z,0.09
2,5,Z,X,-0.36
2,5,Z,Y,0.36
2,5,Z,Z,1.35
2,6,X,X,-0.18
2,6,X,Y,-0.09
2,6,X,Z,0.18
2,6,Y,X,0.18
2,6,Y,Y,-0.09
2,6,Y,Z,0.09
2,6,Z,X,0.18
2,6,Z,Y,-0.27
2,6,Z,Z,1.08
2,7,X,X,-0.18
2,7,X,Y,-0.09
2,7,X,Z,0.0
2,7,Y,X,0.45
2,7,Y,Y,-0.45
2,7,Y,Z,0.18
2,7,Z,X,0.81
2,7,Z,Y,-0.18
2,7,Z,Z,1.44
2,8,X,X,-0.18
2,8,X,Y,-0.09
2,8,X,Z,0.0
2,8,Y,X,-0.09
2,8,Y,Y,-0.18
2,8,Y,Z,0.27
2,8,Z,X,-0.18
2,8,Z,Y,0.09
2,8,Z,Z,1.26
2,9,X,X,-0.27
2,9,X,Y,0.09
2,9,X,Z,0.27
2,9,Y,X,0.09
2,9,Y,Y,0.18
2,9,Y,Z,-0.09
2,9,Z,X,0.27
2,9,Z,Y,0.36
2,9,Z,Z,0.9
2,10,X,X,-0.18
2,10,X,Y,0.27
2,10,X,Z,0.0
2,10,Y,X,-0.18
2,10,Y,Y,0.0
2,10,Y,Z,0.36
2,10,Z,X,0.18
2,10,Z,Y,0.18
2,10,Z,Z,1.17
2,11,X,X,0.09
2,11,X,Y,-0.54
2,11,X,Z,0.18
2,11,Y,X,0.54
2,11,Y,Y,0.27
2,11,Y,Z,0.09
2,11,Z,X,0.54
2,11,Z,Y,-0.18
2,11,Z,Z,1.53
2,12,X,X,-0.72
2,12,X,Y,0.0
2,12,X,Z,0.09
2,12,Y,X,-0.27
2,12,Y,Y,-0.36
2,12,Y,Z,0.45
2,12,Z,X,0.18
2,12,Z,Y,-0.18
2,12,Z,Z,1.17
2,13,X,X,0.27
2,13,X,Y,0.18
2,13,X,Z,0.36
2,13,Y,X,-0.09
2,13,Y,Y,-0.18
2,13,Y,Z,-0.09
2,13,Z,X,-0.63
2,13,Z,Y,0.27
2,13,Z,Z,1.17
2,14,X,X,-0.63
2,14,X,Y,0.0
2,14,X,Z,0.36
2,14,Y,X,-0.27
2,14,Y,Y,-0.54
2,14,Y,Z,-0.09
2,14,Z,X,-0.27
2,14,Z,Y,-0.54
2,14,Z,Z,1.08
2,15,X,X,-0.45
2,15,X,Y,-0.36
2,15,X,Z,-0.18
2,15,Y,X,-0.09
2,15,Y,Y,0.0
2,15,Y,Z,-0.09
2,15,Z,X,0.09
2,15,Z,Y,0.09
2,15,Z,Z,1.17
2,16,X,X,0.18
2,16,X,Y,-0.18
2,16,X,Z,0.09
2,16,Y,X,0.54
2,16,Y,Y,0.0
2,16,Y,Z,0.18
2,16,Z,X,-0.18
2,16,Z,Y,0.0
2,16,Z,Z,1.17
2,17,X,X,0.0
2,17,X,Y,0.0
2,17,X,Z,-0.09
2,17,Y,X,-0.36
2,17,Y,Y,-0.63
2,17,Y,Z,0.45
2,17,Z,X,0.0
2,17,Z,Y,-0.09
2,17,Z,Z,1.08
2,18,X,X,0.36
2,18,X,Y,0.27
2,18,X,Z,0.0
2,18,Y,X,0.0
2,18,Y,Y,0.36
2,18,Y,Z,0.18
2,18,Z,X,-0.45
2,18,Z,Y,0.27
2,18,Z,Z,0.99
2,19,X,X,0.09
2,19,X,Y,0.0
2,19,X,Z,0.18
2,19,Y,X,0.0
2,19,Y,Y,0.45
2,19,Y,Z,0.09
2,19,Z,X,0.09
2,19,Z,Y,-0.27
2,19,Z,Z,1.35
2,20,X,X,-0.18
2,20,X,Y,0.63
2,20,X,Z,0.36
2,20,Y,X,-0.27
2,20,Y,Y,-0.09
2,20,Y,Z,0.18
2,20,Z,X,-0.18
2,20,Z,Y,0.0
2,20,Z,Z,1.71
2,21,X,X,0.0
2,21,X,Y,0.27
2,21,X,Z,0.36
2,21,Y,X,0.27
2,21,Y,Y,0.18
2,21,Y,Z,-0.09
2,21,Z,X,0.27
2,21,Z,Y,0.18
2,21,Z,Z,0.9
2,22,X,X,0.27
2,22,X,Y,0.09
2,22,X,Z,0.45
2,22,Y,X,-0.27
2,22,Y,Y,0.27
2,22,Y,Z,0.18
2,22,Z,X,-0.36
2,22,Z,Y,-0.18
2,22,Z,Z,1.17
2,23,X,X,0.18
2,23,X,Y,0.18
2,23,X,Z,0.27
2,23,Y,X,0.09
2,23,Y,Y,0.18
2,23,Y,Z,0.45
2,23,Z,X,0.0
2,23,Z,Y,-0.36
2,23,Z,Z,1.17
2,24,X,X,0.0
2,24,X,Y,0.45
2,24,X,Z,0.18
2,24,Y,X,-0.18
2,24,Y,Y,0.54
2,24,Y,Z,0.18
2,24,Z,X,-0.09
2,24,Z,Y,0.72
2,24,Z,Z,0.9
2,25,X,X,0.18
2,25,X,Y,-0.18
2,25,X,Z,0.45
2,25,Y,X,0.0
2,25,Y,Y,0.27
2,25,Y,Z,-0.27
2,25,Z,X,0.09
2,25,Z,Y,-0.09
2,25,Z,Z,1.35
2,26,X,X,0.63
2,26,X,Y,-0.09
2,26,X,Z,0.27
2,26,Y,X,0.27
2,26,Y,Y,0.18
2,26,Y,Z,0.27
2,26,Z,X,-0.63
2,26,Z,Y,-0.27
2,26,Z,Z,0.99
2,27,X,X,-0.36
2,27,X,Y,-0.09
2,27,X,Z,0.18
2,27,Y,X,-0.09
2,27,Y,Y,0.27
2,27,Y,Z,0.0
2,27,Z,X,-0.45
2,27,Z,Y,-0.09
2,27,Z,Z,1.35
2,28,X,X,-0.09
2,28,X,Y,-0.09
2,28,X,Z,0.27
2,28,Y,X,-0.18
2,28,Y,Y,-0.09
2,28,Y,Z,-0.09
2,28,Z,X,-0.36
2,28,Z,Y,-0.45
2,28,Z,Z,0.9
2,29,X,X,0.0
2,29,X,Y,0.9
2,29,X,Z,-0.27
2,29,Y,X,-0.36
2,29,Y,Y,-0.09
2,29,Y,Z,0.09
2,29,Z,X,0.09
2,29,Z,Y,0.09
2,29,Z,Z,1.35
3,4,X,X,-0.45
3,4,X,Y,-0.27
3,4,X,Z,-0.18
3,4,Y,X,-0.18
3,4,Y,Y,0.27
3,4,Y,Z,0.36
3,4,Z,X,0.36
3,4,Z,Y,-0.54
3,4,Z,Z,0.99
3,5,X,X,0.09
3,5,X,Y,0.18
3,5,X,Z,-0.09
3,5,Y,X,-0.36
3,5,Y,Y,-0.09
3,5,Y,Z,0.54
3,5,Z,X,0.09
3,5,Z,Y,0.72
3,5,Z,Z,1.26
3,6,X,X,0.18
3,6,X,Y,-0.45
3,6,X,Z,0.09
3,6,Y,X,-0.36
3,6,Y,Y,-0.18
3,6,Y,Z,0.63
3,6,Z,X,0.0
3,6,Z,Y,-0.18
3,6,Z,Z,0.99
3,7,X,X,0.54
3,7,X,Y,-0.09
3,7,X,Z,0.45
3,7,Y,X,-0.18
3,7,Y,Y,0.9
3,7,Y,Z,0.27
3,7,Z,X,0.9
3,7,Z,Y,-0.09
3,7,Z,Z,1.44
3,8,X,X,-0.27
3,8,X,Y,0.18
3,8,X,Z,-0.09
3,8,Y,X,-0.09
3,8,Y,Y,-0.09
3,8,Y,Z,0.63
3,8,Z,X,0.09
3,8,Z,Y,-0.09
3,8,Z,Z,0.99
3,9,X,X,0.27
3,9,X,Y,-0.27
3,9,X,Z,0.18
3,9,Y,X,-0.27
3,9,Y,Y,-0.18
3,9,Y,Z,0.54
3,9,Z,X,-0.27
3,9,Z,Y,0.0
3,9,Z,Z,1.08
3,10,X,X,-0.09
3,10,X,Y,-0.36
3,10,X,Z,0.09
3,10,Y,X,0.27
3,10,Y,Y,-0.09
3,10,Y,Z,0.63
3,10,Z,X,-0.18
3,10,Z,Y,-0.18
3,10,Z,Z,0.99
3,11,X,X,0.0
3,11,X,Y,0.27
3,11,X,Z,0.63
3,11,Y,X,-0.09
3,11,Y,Y,0.09
3,11,Y,Z,0.27
3,11,Z,X,0.36
3,11,Z,Y,-0.45
3,11,Z,Z,1.08
3,12,X,X,-0.54
3,12,X,Y,0.45
3,12,X,Z,0.09
3,12,Y,X,-0.09
3,12,Y,Y,0.09
3,12,Y,Z,0.09
3,12,Z,X,0.18
3,12,Z,Y,0.18
3,12,Z,Z,1.35
3,13,X,X,0.18
3,13,X,Y,-0.45
3,13,X,Z,0.27
3,13,Y,X,-0.18
3,13,Y,Y,-0.36
3,13,Y,Z,0.09
3,13,Z,X,-0.09
3,13,Z,Y,0.36
3,13,Z,Z,1.08
3,14,X,X,-0.09
3,14,X,Y,0.0
3,14,X,Z,0.27
3,14,Y,X,-0.45
3,14,Y,Y,0.09
3,14,Y,Z,0.27
3,14,Z,X,-0.27
3,14,Z,Y,-0.99
3,14,Z,Z,0.99
3,15,X,X,0.09
3,15,X,Y,-0.18
3,15,X,Z,0.09
3,15,Y,X,0.09
3,15,Y,Y,0.09
3,15,Y,Z,0.09
3,15,Z,X,-0.09
3,15,Z,Y,-0.18
3,15,Z,Z,1.26
3,16,X,X,0.63
3,16,X,Y,0.36
3,16,X,Z,0.27
3,16,Y,X,-0.18
3,16,Y,Y,-0.09
3,16,Y,Z,0.18
3,16,Z,X,-0.27
3,16,Z,Y,-0.09
3,16,Z,Z,0.99
3,17,X,X,-0.18
3,17,X,Y,0.63
3,17,X,Z,0.09
3,17,Y,X,0.0
3,17,Y,Y,0.81
3,17,Y,Z,0.0
3,17,Z,X,0.18
3,17,Z,Y,-0.18
3,17,Z,Z,1.53
3,18,X,X,-0.27
3,18,X,Y,0.18
3,18,X,Z,-0.27
3,18,Y,X,-0.36
3,18,Y,Y,0.0
3,18,Y,Z,-0.09
3,18,Z,X,-0.54
3,18,Z,Y,0.18
3,18,Z,Z,0.99
3,19,X,X,-0.09
3,19,X,Y,0.27
3,19,X,Z,0.18
3,19,Y,X,0.63
3,19,Y,Y,-0.09
3,19,Y,Z,0.09
3,19,Z,X,0.18
3,19,Z,Y,-0.54
3,19,Z,Z,1.35
3,20,X,X,-0.45
3,20,X,Y,-0.63
3,20,X,Z,0.36
3,20,Y,X,0.54
3,20,Y,Y,-0.09
3,20,Y,Z,0.0
3,20,Z,X,0.0
3,20,Z,Y,0.0
3,20,Z,Z,1.35
3,21,X,X,0.0
3,21,X,Y,0.27
3,21,X,Z,0.45
3,21,Y,X,-0.09
3,21,Y,Y,-0.18
3,21,Y,Z,0.18
3,21,Z,X,-0.27
3,21,Z,Y,0.72
3,21,Z,Z,0.9
3,22,X,X,0.0
3,22,X,Y,0.09
3,22,X,Z,0.09
3,22,Y,X,0.27
3,22,Y,Y,-0.09
3,22,Y,Z,-0.09
3,22,Z,X,-0.27
3,22,Z,Y,0.36
3,22,Z,Z,0.9
3,23,X,X,0.27
3,23,X,Y,0.0
3,23,X,Z,0.27
3,23,Y,X,-0.45
3,23,Y,Y,-0.18
3,23,Y,Z,0.0
3,23,Z,X,0.27
3,23,Z,Y,-0.36
3,23,Z,Z,1.26
3,24,X,X,0.09
3,24,X,Y,0.54
3,24,X,Z,0.27
3,24,Y,X,0.54
3,24,Y,Y,-0.09
3,24,Y,Z,0.18
3,24,Z,X,0.18
3,24,Z,Y,0.0
3,24,Z,Z,1.35
3,25,X,X,0.09
3,25,X,Y,0.09
3,25,X,Z,-0.36
3,25,Y,X,-0.54
3,25,Y,Y,0.09
3,25,Y,Z,0.18
3,25,Z,X,0.18
3,25,Z,Y,-0.36
3,25,Z,Z,0.99
3,26,X,X,0.0
3,26,X,Y,-0.18
3,26,X,Z,0.54
3,26,Y,X,-0.27
3,26,Y,Y,-0.27
3,26,Y,Z,-0.09
3,26,Z,X,0.0
3,26,Z,Y,0.09
3,26,Z,Z,1.08
3,27,X,X,0.0
3,27,X,Y,0.09
3,27,X,Z,0.09
3,27,Y,X,-0.09
3,27,Y,Y,-0.9
3,27,Y,Z,0.18
3,27,Z,X,-0.45
3,27,Z,Y,0.36
3,27,Z,Z,1.44
3,28,X,X,-0.36
3,28,X,Y,-0.27
3,28,X,Z,-0.27
3,28,Y,X,-0.45
3,28,Y,Y,-0.36
3,28,Y,Z,-0.18
3,28,Z,X,-0.54
3,28,Z,Y,-0.18
3,28,Z,Z,0.99
3,29,X,X,0.09
3,29,X,Y,0.0
3,29,X,Z,-0.09
3,29,Y,X,0.18
3,29,Y,Y,-0.09
3,29,Y,Z,0.54
3,29,Z,X,0.0
3,29,Z,Y,-0.27
3,29,Z,Z,1.08
4,5,X,X,-0.27
4,5,X,Y,-0.18
4,5,X,Z,0.0
4,5,Y,X,0.0
4,5,Y,Y,-0.45
4,5,Y,Z,-0.81
4,5,Z,X,0.27
4,5,Z,Y,0.18
4,5,Z,Z,0.72
4,6,X,X,0.18
4,6,X,Y,-0.09
4,6,X,Z,-0.18
4,6,Y,X,0.09
4,6,Y,Y,0.27
4,6,Y,Z,-0.18
4,6,Z,X,0.27
4,6,Z,Y,0.27
4,6,Z,Z,0.81
4,7,X,X,0.09
4,7,X,Y,-0.09
4,7,X,Z,-0.27
4,7,Y,X,-0.36
4,7,Y,Y,0.09
4,7,Y,Z,-0.27
4,7,Z,X,0.27
4,7,Z,Y,-0.18
4,7,Z,Z,1.26
4,8,X,X,0.36
4,8,X,Y,0.27
