i,j,P,Q,est
0,1,X,X,0.9
0,1,X,Y,0.9
0,1,X,Z,0.9
0,1,Y,X,0.9
0,1,Y,Y,0.0
0,1,Y,Z,0.0
0,1,Z,X,0.0
0,1,Z,Y,-0.9
0,1,Z,Z,0.9
0,2,X,X,0.0
0,2,X,Y,-1.8
0,2,X,Z,0.9
0,2,Y,X,0.0
0,2,Y,Y,1.8
0,2,Y,Z,0.9
0,2,Z,X,0.0
0,2,Z,Y,0.0
0,2,Z,Z,1.8
0,3,X,X,0.0
0,3,X,Y,-0.9
0,3,X,Z,0.0
0,3,Y,X,0.9
0,3,Y,Y,-0.9
0,3,Y,Z,-0.9
0,3,Z,X,-0.9
0,3,Z,Y,0.0
0,3,Z,Z,2.7
0,4,X,X,0.9
0,4,X,Y,-1.8
0,4,X,Z,0.0
0,4,Y,X,0.0
0,4,Y,Y,0.0
0,4,Y,Z,0.9
0,4,Z,X,-0.9
0,4,Z,Y,-0.9
0,4,Z,Z,1.8
0,5,X,X,0.0
0,5,X,Y,0.0
0,5,X,Z,-0.9
0,5,Y,X,0.9
0,5,Y,Y,0.0
0,5,Y,Z,0.0
0,5,Z,X,-1.8
0,5,Z,Y,0.0
0,5,Z,Z,0.0
0,6,X,X,0.0
0,6,X,Y,-1.8
0,6,X,Z,0.9
0,6,Y,X,0.0
0,6,Y,Y,0.0
0,6,Y,Z,0.9
0,6,Z,X,0.9
0,6,Z,Y,0.0
0,6,Z,Z,0.9
0,7,X,X,0.0
0,7,X,Y,0.9
0,7,X,Z,0.0
0,7,Y,X,-0.9
0,7,Y,Y,0.0
0,7,Y,Z,-1.8
0,7,Z,X,-0.9
0,7,Z,Y,0.0
0,7,Z,Z,0.9
0,8,X,X,-0.9
0,8,X,Y,-0.9
0,8,X,Z,0.9
0,8,Y,X,-0.9
0,8,Y,Y,0.9
0,8,Y,Z,-0.9
0,8,Z,X,0.0
0,8,Z,Y,-0.9
0,8,Z,Z,0.9
0,9,X,X,0.0
0,9,X,Y,0.0
0,9,X,Z,-0.9
0,9,Y,X,0.0
0,9,Y,Y,0.9
0,9,Y,Z,0.0
0,9,Z,X,0.0
0,9,Z,Y,-0.9
0,9,Z,Z,0.9
0,10,X,X,0.0
0,10,X,Y,0.0
0,10,X,Z,0.9
0,10,Y,X,-0.9
0,10,Y,Y,0.0
0,10,Y,Z,0.0
0,10,Z,X,0.9
0,10,Z,Y,0.0
0,10,Z,Z,2.7
0,11,X,X,-0.9
0,11,X,Y,0.0
0,11,X,Z,1.8
0,11,Y,X,-0.9
0,11,Y,Y,-0.9
0,11,Y,Z,-0.9
0,11,Z,X,0.0
0,11,Z,Y,0.0
0,11,Z,Z,1.8
0,12,X,X,0.0
0,12,X,Y,0.0
0,12,X,Z,0.9
0,12,Y,X,0.0
0,12,Y,Y,0.0
0,12,Y,Z,-0.9
0,12,Z,X,0.0
0,12,Z,Y,-0.9
0,12,Z,Z,2.7
0,13,X,X,1.8
0,13,X,Y,0.0
0,13,X,Z,-0.9
0,13,Y,X,-0.9
0,13,Y,Y,0.0
0,13,Y,Z,0.0
0,13,Z,X,2.7
0,13,Z,Y,0.9
0,13,Z,Z,0.0
0,14,X,X,-0.9
0,14,X,Y,-0.9
0,14,X,Z,0.9
0,14,Y,X,1.8
0,14,Y,Y,0.0
0,14,Y,Z,-0.9
0,14,Z,X,0.0
0,14,Z,Y,-0.9
0,14,Z,Z,2.7
0,15,X,X,0.0
0,15,X,Y,0.0
0,15,X,Z,-0.9
0,15,Y,X,-0.9
0,15,Y,Y,-1.8
0,15,Y,Z,0.0
0,15,Z,X,0.0
0,15,Z,Y,0.0
0,15,Z,Z,0.0
0,16,X,X,0.0
0,16,X,Y,1.8
