i,j,P,Q,est
0,16,X,Z,0.9
0,16,Y,X,0.0
0,16,Y,Y,0.9
0,16,Y,Z,0.0
0,16,Z,X,0.9
0,16,Z,Y,-0.9
0,16,Z,Z,0.0
0,17,X,X,0.9
0,17,X,Y,0.9
0,17,X,Z,0.9
0,17,Y,X,0.0
0,17,Y,Y,0.9
0,17,Y,Z,0.0
0,17,Z,X,1.8
0,17,Z,Y,0.9
0,17,Z,Z,0.9
0,18,X,X,-0.9
0,18,X,Y,0.9
0,18,X,Z,0.9
0,18,Y,X,0.9
0,18,Y,Y,0.9
0,18,Y,Z,0.9
0,18,Z,X,0.0
0,18,Z,Y,-1.8
0,18,Z,Z,0.0
0,19,X,X,-0.9
0,19,X,Y,1.8
0,19,X,Z,0.0
0,19,Y,X,0.0
0,19,Y,Y,-1.8
0,19,Y,Z,-0.9
0,19,Z,X,0.9
0,19,Z,Y,0.9
0,19,Z,Z,0.0
0,20,X,X,1.8
0,20,X,Y,0.9
0,20,X,Z,0.0
0,20,Y,X,0.9
0,20,Y,Y,-0.9
0,20,Y,Z,-0.9
0,20,Z,X,0.0
0,20,Z,Y,-0.9
0,20,Z,Z,0.9
0,21,X,X,0.9
0,21,X,Y,-0.9
0,21,X,Z,0.9
0,21,Y,X,-0.9
0,21,Y,Y,1.8
0,21,Y,Z,0.0
0,21,Z,X,1.8
0,21,Z,Y,-0.9
0,21,Z,Z,0.9
0,22,X,X,-0.9
0,22,X,Y,0.9
0,22,X,Z,0.9
0,22,Y,X,-1.8
0,22,Y,Y,0.9
0,22,Y,Z,0.0
0,22,Z,X,0.9
0,22,Z,Y,0.0
0,22,Z,Z,2.7
0,23,X,X,0.9
0,23,X,Y,0.9
0,23,X,Z,-0.9
0,23,Y,X,0.0
0,23,Y,Y,0.0
0,23,Y,Z,-0.9
0,23,Z,X,-0.9
0,23,Z,Y,0.0
0,23,Z,Z,0.9
0,24,X,X,1.8
0,24,X,Y,0.0
0,24,X,Z,-0.9
0,24,Y,X,0.9
0,24,Y,Y,0.9
0,24,Y,Z,0.9
0,24,Z,X,0.9
0,24,Z,Y,0.0
0,24,Z,Z,2.7
0,25,X,X,0.9
0,25,X,Y,0.0
0,25,X,Z,0.0
0,25,Y,X,0.0
0,25,Y,Y,0.9
0,25,Y,Z,-1.8
0,25,Z,X,-0.9
0,25,Z,Y,0.9
0,25,Z,Z,1.8
0,26,X,X,1.8
0,26,X,Y,0.0
0,26,X,Z,-0.9
0,26,Y,X,-1.8
0,26,Y,Y,0.0
0,26,Y,Z,0.9
0,26,Z,X,0.9
0,26,Z,Y,1.8
0,26,Z,Z,0.9
0,27,X,X,-0.9
0,27,X,Y,-1.8
0,27,X,Z,0.0
0,27,Y,X,0.0
0,27,Y,Y,-0.9
0,27,Y,Z,0.0
0,27,Z,X,1.8
0,27,Z,Y,-0.9
0,27,Z,Z,0.9
0,28,X,X,0.9
0,28,X,Y,0.9
0,28,X,Z,-0.9
0,28,Y,X,-0.9
0,28,Y,Y,0.9
0,28,Y,Z,0.9
0,28,Z,X,0.0
0,28,Z,Y,0.9
0,28,Z,Z,2.7
0,29,X,X,0.0
0,29,X,Y,0.0
0,29,X,Z,0.9
0,29,Y,X,-0.9
0,29,Y,Y,0.0
0,29,Y,Z,-1.8
0,29,Z,X,0.0
0,29,Z,Y,0.9
0,29,Z,Z,0.9
1,2,X,X,-0.9
1,2,X,Y,0.9
1,2,X,Z,0.0
1,2,Y,X,0.0
1,2,Y,Y,-0.9
1,2,Y,Z,-0.9
1,2,Z,X,0.9
1,2,Z,Y,-1.8
1,2,Z,Z,0.9
1,3,X,X,0.9
1,3,X,Y,-0.9
1,3,X,Z,0.0
1,3,Y,X,0.0
1,3,Y,Y,0.0
1,3,Y,Z,-1.8
1,3,Z,X,-0.9
1,3,Z,Y,-0.9
1,3,Z,Z,1.8
1,4,X,X,0.9
1,4,X,Y,-2.7
1,4,X,Z,0.0
1,4,Y,X,0.0
1,4,Y,Y,-0.9
1,4,Y,Z,-0.9
1,4,Z,X,0.9
1,4,Z,Y,-0.9
1,4,Z,Z,1.8
1,5,X,X,-2.7
1,5,X,Y,0.9
1,5,X,Z,0.0
1,5,Y,X,0.9
1,5,Y,Y,0.0
1,5,Y,Z,-0.9
1,5,Z,X,-0.9
1,5,Z,Y,-0.9
1,5,Z,Z,0.0
1,6,X,X,1.8
1,6,X,Y,-0.9
1,6,X,Z,-0.9
1,6,Y,X,-0.9
1,6,Y,Y,-0.9
1,6,Y,Z,0.0
1,6,Z,X,0.0
1,6,Z,Y,0.0
1,6,Z,Z,1.8
1,7,X,X,-0.9
1,7,X,Y,0.9
1,7,X,Z,-1.8
1,7,Y,X,0.0
1,7,Y,Y,-0.9
1,7,Y,Z,-0.9
1,7,Z,X,-0.9
1,7,Z,Y,-0.9
1,7,Z,Z,1.8
1,8,X,X,-0.9
1,8,X,Y,0.9
1,8,X,Z,1.8
1,8,Y,X,0.0
1,8,Y,Y,0.0
1,8,Y,Z,0.0
1,8,Z,X,-0.9
1,8,Z,Y,-1.8
1,8,Z,Z,0.9
1,9,X,X,0.9
1,9,X,Y,0.9
1,9,X,Z,0.0
1,9,Y,X,0.0
1,9,Y,Y,0.0
1,9,Y,Z,-1.8
1,9,Z,X,0.9
1,9,Z,Y,-0.9
1,9,Z,Z,1.8
1,10,X,X,-0.9
1,10,X,Y,0.9
1,10,X,Z,1.8
1,10,Y,X,0.0
1,10,Y,Y,0.0
1,10,Y,Z,-1.8
1,10,Z,X,-0.9
1,10,Z,Y,0.9
1,10,Z,Z,1.8
1,11,X,X,-1.8
1,11,X,Y,0.0
1,11,X,Z,1.8
1,11,Y,X,0.0
1,11,Y,Y,0.0
1,11,Y,Z,0.0
1,11,Z,X,0.0
1,11,Z,Y,-0.9
1,11,Z,Z,2.7
1,12,X,X,0.9
1,12,X,Y,0.9
1,12,X,Z,1.8
1,12,Y,X,0.0
1,12,Y,Y,0.0
1,12,Y,Z,-1.8
1,12,Z,X,-0.9
1,12,Z,Y,0.0
1,12,Z,Z,2.7
1,13,X,X,0.9
1,13,X,Y,0.9
1,13,X,Z,0.0
1,13,Y,X,0.0
1,13,Y,Y,-0.9
1,13,Y,Z,-0.9
1,13,Z,X,0.9
1,13,Z,Y,0.9
1,13,Z,Z,0.0
1,14,X,X,0.0
1,14,X,Y,0.0
1,14,X,Z,0.0
1,14,Y,X,0.0
1,14,Y,Y,0.0
1,14,Y,Z,0.0
1,14,Z,X,0.9
1,14,Z,Y,0.0
1,14,Z,Z,2.7
1,15,X,X,0.0
1,15,X,Y,0.0
1,15,X,Z,0.0
1,15,Y,X,-0.9
1,15,Y,Y,0.0
1,15,Y,Z,-0.9
1,15,Z,X,0.0
1,15,Z,Y,0.0
1,15,Z,Z,0.0
1,16,X,X,0.9
1,16,X,Y,1.8
1,16,X,Z,0.9
1,16,Y,X,0.9
1,16,Y,Y,0.9
1,16,Y,Z,0.0
1,16,Z,X,0.9
1,16,Z,Y,-0.9
1,16,Z,Z,0.0
1,17,X,X,0.0
1,17,X,Y,0.9
1,17,X,Z,-0.9
1,17,Y,X,0.9
1,17,Y,Y,-0.9
1,17,Y,Z,0.0
1,17,Z,X,0.0
1,17,Z,Y,0.9
1,17,Z,Z,0.9
1,18,X,X,0.0
1,18,X,Y,1.8
1,18,X,Z,0.0
1,18,Y,X,0.0
1,18,Y,Y,1.8
1,18,Y,Z,0.0
1,18,Z,X,-1.8
1,18,Z,Y,0.0
1,18,Z,Z,1.8
1,19,X,X,-0.9
1,19,X,Y,-0.9
1,19,X,Z,0.0
1,19,Y,X,0.9
1,19,Y,Y,0.9
1,19,Y,Z,0.0
1,19,Z,X,0.0
1,19,Z,Y,0.9
1,19,Z,Z,0.9
1,20,X,X,0.0
1,20,X,Y,0.0
1,20,X,Z,-1.8
1,20,Y,X,0.0
1,20,Y,Y,0.0
1,20,Y,Z,0.0
1,20,Z,X,0.9
1,20,Z,Y,0.9
1,20,Z,Z,0.0
1,21,X,X,0.0
1,21,X,Y,0.9
1,21,X,Z,0.9
1,21,Y,X,-0.9
1,21,Y,Y,-0.9
1,21,Y,Z,0.0
1,21,Z,X,0.9
1,21,Z,Y,0.0
1,21,Z,Z,0.9
1,22,X,X,-0.9
1,22,X,Y,0.0
1,22,X,Z,0.9
1,22,Y,X,-0.9
1,22,Y,Y,0.0
1,22,Y,Z,-0.9
1,22,Z,X,1.8
1,22,Z,Y,1.8
1,22,Z,Z,0.0
1,23,X,X,-0.9
1,23,X,Y,0.9
1,23,X,Z,-1.8
1,23,Y,X,-0.9
1,23,Y,Y,0.0
1,23,Y,Z,-0.9
1,23,Z,X,-1.8
1,23,Z,Y,0.0
1,23,Z,Z,0.0
1,24,X,X,0.9
1,24,X,Y,0.9
1,24,X,Z,0.0
1,24,Y,X,-0.9
1,24,Y,Y,0.0
1,24,Y,Z,-0.9
1,24,Z,X,0.0
1,24,Z,Y,0.0
1,24,Z,Z,1.8
1,25,X,X,-0.9
1,25,X,Y,0.0
1,25,X,Z,-0.9
1,25,Y,X,0.0
1,25,Y,Y,-0.9
1,25,Y,Z,-0.9
1,25,Z,X,0.9
1,25,Z,Y,0.9
1,25,Z,Z,1.8
1,26,X,X,-0.9
1,26,X,Y,0.0
1,26,X,Z,0.9
1,26,Y,X,0.0
1,26,Y,Y,-0.9
1,26,Y,Z,-0.9
1,26,Z,X,1.8
1,26,Z,Y,0.9
1,26,Z,Z,0.9
1,27,X,X,0.0
1,27,X,Y,-0.9
1,27,X,Z,0.9
1,27,Y,X,-1.8
1,27,Y,Y,0.0
1,27,Y,Z,0.0
1,27,Z,X,0.9
1,27,Z,Y,-0.9
1,27,Z,Z,1.8
1,28,X,X,-0.9
1,28,X,Y,0.0
1,28,X,Z,0.9
1,28,Y,X,0.0
1,28,Y,Y,0.0
1,28,Y,Z,-1.8
1,28,Z,X,0.9
1,28,Z,Y,-0.9
1,28,Z,Z,1.8
1,29,X,X,1.8
1,29,X,Y,0.0
1,29,X,Z,0.0
1,29,Y,X,-1.8
1,29,Y,Y,0.0
1,29,Y,Z,0.0
1,29,Z,X,-0.9
1,29,Z,Y,0.9
1,29,Z,Z,1.8
2,3,X,X,0.0
2,3,X,Y,0.0
2,3,X,Z,0.0
2,3,Y,X,0.9
2,3,Y,Y,0.0
2,3,Y,Z,-0.9
2,3,Z,X,-0.9
2,3,Z,Y,-1.8
2,3,Z,Z,0.9
2,4,X,X,0.0
2,4,X,Y,0.9
2,4,X,Z,0.9
2,4,Y,X,-0.9
2,4,Y,Y,0.9
2,4,Y,Z,0.0
2,4,Z,X,-0.9
2,4,Z,Y,-0.9
2,4,Z,Z,1.8
2,5,X,X,0.0
2,5,X,Y,0.0
2,5,X,Z,0.0
2,5,Y,X,0.0
2,5,Y,Y,0.9
2,5,Y,Z,0.9
2,5,Z,X,0.9
2,5,Z,Y,0.9
2,5,Z,Z,0.0
2,6,X,X,-1.8
2,6,X,Y,0.0
2,6,X,Z,0.0
2,6,Y,X,0.0
2,6,Y,Y,0.9
2,6,Y,Z,-0.9
2,6,Z,X,0.9
2,6,Z,Y,-0.9
2,6,Z,Z,1.8
2,7,X,X,0.9
2,7,X,Y,-0.9
2,7,X,Z,0.0
2,7,Y,X,0.0
2,7,Y,Y,0.0
2,7,Y,Z,-1.8
2,7,Z,X,-0.9
2,7,Z,Y,1.8
2,7,Z,Z,0.9
2,8,X,X,0.0
2,8,X,Y,-0.9
2,8,X,Z,-0.9
2,8,Y,X,0.9
2,8,Y,Y,1.8
2,8,Y,Z,-0.9
2,8,Z,X,-0.9
2,8,Z,Y,0.0
2,8,Z,Z,0.9
2,9,X,X,-0.9
2,9,X,Y,-0.9
2,9,X,Z,0.0
2,9,Y,X,-0.9
2,9,Y,Y,0.9
2,9,Y,Z,0.0
2,9,Z,X,-1.8
2,9,Z,Y,0.0
2,9,Z,Z,1.8
2,10,X,X,0.0
2,10,X,Y,0.0
2,10,X,Z,0.0
2,10,Y,X,0.0
2,10,Y,Y,0.0
2,10,Y,Z,0.0
2,10,Z,X,0.0
2,10,Z,Y,0.0
2,10,Z,Z,1.8
2,11,X,X,0.0
2,11,X,Y,0.0
2,11,X,Z,0.0
2,11,Y,X,0.0
2,11,Y,Y,0.0
2,11,Y,Z,-1.8
2,11,Z,X,0.0
2,11,Z,Y,-0.9
2,11,Z,Z,0.9
2,12,X,X,0.0
2,12,X,Y,0.0
2,12,X,Z,0.0
2,12,Y,X,0.9
2,12,Y,Y,0.0
2,12,Y,Z,-0.9
2,12,Z,X,-0.9
2,12,Z,Y,-0.9
2,12,Z,Z,1.8
2,13,X,X,0.0
2,13,X,Y,0.0
2,13,X,Z,0.0
2,13,Y,X,-0.9
2,13,Y,Y,0.0
2,13,Y,Z,0.9
2,13,Z,X,0.9
2,13,Z,Y,0.9
2,13,Z,Z,0.0
2,14,X,X,0.0
2,14,X,Y,0.0
2,14,X,Z,0.0
2,14,Y,X,0.9
2,14,Y,Y,0.9
2,14,Y,Z,-1.8
2,14,Z,X,0.0
2,14,Z,Y,-0.9
2,14,Z,Z,0.9
2,15,X,X,0.0
2,15,X,Y,-1.8
2,15,X,Z,0.0
2,15,Y,X,-0.9
2,15,Y,Y,-1.8
2,15,Y,Z,0.9
2,15,Z,X,0.0
2,15,Z,Y,-1.8
2,15,Z,Z,0.0
2,16,X,X,0.0
2,16,X,Y,0.0
2,16,X,Z,0.0
2,16,Y,X,0.0
2,16,Y,Y,0.0
2,16,Y,Z,0.0
2,16,Z,X,-0.9
2,16,Z,Y,-1.8
2,16,Z,Z,0.9
2,17,X,X,0.0
2,17,X,Y,0.0
2,17,X,Z,0.0
2,17,Y,X,-0.9
2,17,Y,Y,0.0
2,17,Y,Z,-0.9
2,17,Z,X,0.0
2,17,Z,Y,2.7
2,17,Z,Z,0.9
2,18,X,X,-1.8
2,18,X,Y,0.0
2,18,X,Z,0.0
2,18,Y,X,0.9
2,18,Y,Y,0.0
2,18,Y,Z,-0.9
2,18,Z,X,-0.9
2,18,Z,Y,-1.8
2,18,Z,Z,0.9
2,19,X,X,-0.9
2,19,X,Y,0.9
2,19,X,Z,0.0
2,19,Y,X,0.0
2,19,Y,Y,-2.7
2,19,Y,Z,-0.9
2,19,Z,X,-0.9
2,19,Z,Y,-0.9
2,19,Z,Z,0.0
2,20,X,X,0.9
2,20,X,Y,-0.9
2,20,X,Z,0.0
2,20,Y,X,-0.9
2,20,Y,Y,-1.8
2,20,Y,Z,-0.9
2,20,Z,X,2.7
2,20,Z,Y,0.0
2,20,Z,Z,0.9
2,21,X,X,0.0
2,21,X,Y,-0.9
2,21,X,Z,-0.9
2,21,Y,X,-0.9
2,21,Y,Y,1.8
2,21,Y,Z,-0.9
2,21,Z,X,2.7
2,21,Z,Y,0.9
2,21,Z,Z,0.0
2,22,X,X,0.9
2,22,X,Y,0.0
2,22,X,Z,-0.9
2,22,Y,X,-0.9
2,22,Y,Y,-0.9
2,22,Y,Z,0.0
2,22,Z,X,0.0
2,22,Z,Y,0.9
2,22,Z,Z,2.7
2,23,X,X,0.0
2,23,X,Y,0.0
2,23,X,Z,0.0
2,23,Y,X,0.0
2,23,Y,Y,0.0
2,23,Y,Z,0.0
2,23,Z,X,0.0
2,23,Z,Y,0.9
2,23,Z,Z,0.9
2,24,X,X,0.0
2,24,X,Y,0.0
2,24,X,Z,0.0
2,24,Y,X,0.0
2,24,Y,Y,0.9
2,24,Y,Z,0.9
2,24,Z,X,1.8
2,24,Z,Y,0.0
2,24,Z,Z,1.8
2,25,X,X,0.9
2,25,X,Y,0.0
2,25,X,Z,0.9
2,25,Y,X,-0.9
2,25,Y,Y,0.9
2,25,Y,Z,-1.8
2,25,Z,X,0.0
2,25,Z,Y,2.7
2,25,Z,Z,0.9
2,26,X,X,0.0
2,26,X,Y,0.9
2,26,X,Z,-0.9
2,26,Y,X,-2.7
2,26,Y,Y,0.0
2,26,Y,Z,0.9
2,26,Z,X,1.8
2,26,Z,Y,0.9
2,26,Z,Z,0.9
2,27,X,X,0.9
2,27,X,Y,0.0
2,27,X,Z,-0.9
2,27,Y,X,0.9
2,27,Y,Y,0.0
2,27,Y,Z,-0.9
2,27,Z,X,0.9
2,27,Z,Y,-1.8
2,27,Z,Z,0.9
2,28,X,X,0.0
2,28,X,Y,0.0
2,28,X,Z,0.0
2,28,Y,X,-1.8
2,28,Y,Y,0.9
2,28,Y,Z,0.9
2,28,Z,X,0.0
2,28,Z,Y,1.8
2,28,Z,Z,1.8
2,29,X,X,0.0
2,29,X,Y,0.9
2,29,X,Z,-0.9
2,29,Y,X,0.9
2,29,Y,Y,0.0
2,29,Y,Z,-2.7
2,29,Z,X,0.0
2,29,Z,Y,0.0
2,29,Z,Z,0.0
3,4,X,X,0.9
3,4,X,Y,0.9
3,4,X,Z,0.0
3,4,Y,X,0.0
3,4,Y,Y,0.9
3,4,Y,Z,-0.9
3,4,Z,X,0.9
3,4,Z,Y,0.9
3,4,Z,Z,1.8
3,5,X,X,0.0
3,5,X,Y,0.0
3,5,X,Z,0.0
3,5,Y,X,-0.9
3,5,Y,Y,-0.9
3,5,Y,Z,0.0
3,5,Z,X,-1.8
3,5,Z,Y,-0.9
3,5,Z,Z,0.9
3,6,X,X,-0.9
3,6,X,Y,0.0
3,6,X,Z,-0.9
3,6,Y,X,0.0
3,6,Y,Y,0.9
3,6,Y,Z,-0.9
3,6,Z,X,0.0
3,6,Z,Y,0.9
3,6,Z,Z,0.9
3,7,X,X,0.0
3,7,X,Y,0.0
3,7,X,Z,-1.8
3,7,Y,X,0.9
3,7,Y,Y,-0.9
3,7,Y,Z,0.0
3,7,Z,X,-0.9
3,7,Z,Y,0.0
3,7,Z,Z,2.7
3,8,X,X,-0.9
3,8,X,Y,0.0
3,8,X,Z,-0.9
3,8,Y,X,0.9
3,8,Y,Y,0.0
3,8,Y,Z,-0.9
3,8,Z,X,0.0
3,8,Z,Y,-2.7
3,8,Z,Z,0.9
3,9,X,X,0.9
3,9,X,Y,0.0
3,9,X,Z,-0.9
3,9,Y,X,0.9
3,9,Y,Y,0.0
3,9,Y,Z,-0.9
3,9,Z,X,1.8
3,9,Z,Y,-1.8
3,9,Z,Z,1.8
3,10,X,X,-0.9
3,10,X,Y,-0.9
3,10,X,Z,0.0
3,10,Y,X,0.9
3,10,Y,Y,0.0
3,10,Y,Z,-0.9
3,10,Z,X,0.0
3,10,Z,Y,-0.9
3,10,Z,Z,4.5
3,11,X,X,-0.9
3,11,X,Y,0.0
3,11,X,Z,-0.9
3,11,Y,X,0.0
3,11,Y,Y,0.9
3,11,Y,Z,-0.9
3,11,Z,X,0.9
3,11,Z,Y,0.0
3,11,Z,Z,2.7
3,12,X,X,0.0
3,12,X,Y,0.9
3,12,X,Z,-0.9
3,12,Y,X,0.9
3,12,Y,Y,0.0
3,12,Y,Z,-0.9
3,12,Z,X,-0.9
3,12,Z,Y,0.0
3,12,Z,Z,4.5
3,13,X,X,-0.9
3,13,X,Y,-0.9
3,13,X,Z,0.0
3,13,Y,X,0.0
3,13,Y,Y,0.0
3,13,Y,Z,0.0
3,13,Z,X,2.7
3,13,Z,Y,0.0
3,13,Z,Z,0.9
3,14,X,X,0.0
3,14,X,Y,0.0
3,14,X,Z,-1.8
3,14,Y,X,0.0
3,14,Y,Y,0.0
3,14,Y,Z,0.0
3,14,Z,X,-0.9
3,14,Z,Y,0.0
3,14,Z,Z,2.7
3,15,X,X,0.9
3,15,X,Y,-0.9
3,15,X,Z,0.0
3,15,Y,X,0.0
3,15,Y,Y,1.8
3,15,Y,Z,0.0
3,15,Z,X,1.8
3,15,Z,Y,0.9
3,15,Z,Z,0.9
3,16,X,X,0.0
3,16,X,Y,1.8
3,16,X,Z,0.0
3,16,Y,X,0.0
3,16,Y,Y,0.9
3,16,Y,Z,-0.9
3,16,Z,X,0.9
3,16,Z,Y,-0.9
3,16,Z,Z,0.0
3,17,X,X,0.9
3,17,X,Y,0.0
3,17,X,Z,-0.9
3,17,Y,X,0.0
3,17,Y,Y,-1.8
3,17,Y,Z,0.0
3,17,Z,X,1.8
3,17,Z,Y,0.9
3,17,Z,Z,0.9
3,18,X,X,0.9
3,18,X,Y,0.9
3,18,X,Z,0.0
3,18,Y,X,0.9
3,18,Y,Y,0.0
3,18,Y,Z,-0.9
3,18,Z,X,0.0
3,18,Z,Y,-2.7
3,18,Z,Z,0.9
3,19,X,X,-0.9
3,19,X,Y,0.0
3,19,X,Z,-0.9
3,19,Y,X,0.9
3,19,Y,Y,0.9
3,19,Y,Z,0.0
3,19,Z,X,0.0
3,19,Z,Y,1.8
3,19,Z,Z,0.0
3,20,X,X,0.0
3,20,X,Y,-0.9
3,20,X,Z,-0.9
3,20,Y,X,-1.8
3,20,Y,Y,0.0
3,20,Y,Z,0.0
3,20,Z,X,-0.9
3,20,Z,Y,0.0
3,20,Z,Z,0.9
3,21,X,X,-1.8
3,21,X,Y,0.0
3,21,X,Z,0.0
3,21,Y,X,-0.9
3,21,Y,Y,-0.9
3,21,Y,Z,0.0
3,21,Z,X,0.9
3,21,Z,Y,-0.9
3,21,Z,Z,1.8
3,22,X,X,-0.9
3,22,X,Y,0.0
3,22,X,Z,-0.9
3,22,Y,X,0.0
3,22,Y,Y,-0.9
3,22,Y,Z,-0.9
3,22,Z,X,2.7
3,22,Z,Y,0.9
3,22,Z,Z,1.8
3,23,X,X,0.9
3,23,X,Y,0.0
3,23,X,Z,-0.9
3,23,Y,X,0.9
3,23,Y,Y,-0.9
3,23,Y,Z,0.0
3,23,Z,X,0.0
3,23,Z,Y,0.0
3,23,Z,Z,1.8
3,24,X,X,0.9
3,24,X,Y,0.0
3,24,X,Z,-0.9
3,24,Y,X,-0.9
3,24,Y,Y,0.0
3,24,Y,Z,-0.9
3,24,Z,X,1.8
3,24,Z,Y,-0.9
3,24,Z,Z,2.7
3,25,X,X,0.0
3,25,X,Y,-0.9
3,25,X,Z,-0.9
3,25,Y,X,0.0
3,25,Y,Y,-1.8
3,25,Y,Z,0.0
3,25,Z,X,0.0
3,25,Z,Y,0.9
3,25,Z,Z,2.7
3,26,X,X,-1.8
3,26,X,Y,0.0
3,26,X,Z,0.0
3,26,Y,X,-0.9
3,26,Y,Y,0.0
3,26,Y,Z,-0.9
3,26,Z,X,1.8
3,26,Z,Y,1.8
3,26,Z,Z,1.8
3,27,X,X,0.0
3,27,X,Y,0.9
3,27,X,Z,-0.9
3,27,Y,X,0.0
3,27,Y,Y,0.9
3,27,Y,Z,-0.9
3,27,Z,X,2.7
3,27,Z,Y,0.0
3,27,Z,Z,0.9
3,28,X,X,0.0
3,28,X,Y,0.0
3,28,X,Z,0.0
3,28,Y,X,0.0
3,28,Y,Y,-0.9
3,28,Y,Z,-0.9
3,28,Z,X,1.8
3,28,Z,Y,0.0
3,28,Z,Z,3.6
3,29,X,X,0.9
3,29,X,Y,0.0
3,29,X,Z,-0.9
3,29,Y,X,0.0
3,29,Y,Y,0.0
3,29,Y,Z,0.0
3,29,Z,X,1.8
3,29,Z,Y,0.9
3,29,Z,Z,2.7
4,5,X,X,-0.9
4,5,X,Y,-0.9
4,5,X,Z,0.0
4,5,Y,X,2.7
4,5,Y,Y,-0.9
4,5,Y,Z,0.9
4,5,Z,X,-0.9
4,5,Z,Y,0.0
4,5,Z,Z,0.0
4,6,X,X,0.0
4,6,X,Y,0.0
4,6,X,Z,0.0
4,6,Y,X,-2.7
4,6,Y,Y,1.8
4,6,Y,Z,0.0
4,6,Z,X,0.0
4,6,Z,Y,0.0
4,6,Z,Z,0.9
4,7,X,X,0.0
4,7,X,Y,0.0
4,7,X,Z,0.0
4,7,Y,X,0.9
4,7,Y,Y,-0.9
4,7,Y,Z,0.9
4,7,Z,X,-0.9
4,7,Z,Y,0.0
4,7,Z,Z,0.0
4,8,X,X,-0.9
4,8,X,Y,-0.9
4,8,X,Z,0.0
4,8,Y,X,0.9
4,8,Y,Y,-0.9
4,8,Y,Z,-2.7
4,8,Z,X,-1.8
4,8,Z,Y,-0.9
4,8,Z,Z,0.0
